,aisuite_Claude-3.5-Sonnet,together_Llama-3.3-70B-It,together_Mistral-Small-3-24B-It,together_Gemma-2-9B-It
13,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.49, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.49, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.24, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
14,"{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.26, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.22, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}"
15,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.54, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
16,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
17,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.24, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
18,"{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
19,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
20,"{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
21,"{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.26, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
22,"{""scaled_score"": 0.64, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.38, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
23,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.0, ""logical_equivalence"": 0, ""signal_behavior"": 0, ""edge_case_handling"": 0, ""code_modularity"": 0, ""resource_efficiency"": 0, ""timing_pipeline_depth"": 0}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
24,"{""scaled_score"": 0.64, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.26, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
25,"{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
26,"{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.89, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.2, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}"
27,"{""scaled_score"": 0.54, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.54, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.47, ""logical_equivalence"": 3, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
28,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.59, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.56, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
29,"{""scaled_score"": 0.64, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
30,"{""scaled_score"": 0.66, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
31,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
32,"{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.14, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 0, ""resource_efficiency"": 0, ""timing_pipeline_depth"": 0}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
33,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.94, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.49, ""logical_equivalence"": 3, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
